Module Code,,EXAMPLE-25MAA000,,,,
Module Title,,Mathematical Methods for Python,,,,
Version No.,,25,,,,
Instance No.,,1,,,,
Instance ID,,0,,,,
No. of Assessments,,3,,,,
,,,,,,
Assessment IDs ,,,,1,2,3
_____________________________________________________________________________________________________________,,,,,,
Regno,Name,,,Programming Assignment,CAA Test,In person examination
,,,,20%,10%,70%
_____________________________________________________________________________________________________________,,,,,,
F650000,Name0,,,48,23,36
F650001,Name1,,,41,41,24
F650002,Name2,,,25,23,40
F650003,Name3,,,52,40,42
F650004,Name4,,,71,53,63
F650005,Name5,,,48,44,29
F650006,Name6,,,71,82,62
F650007,Name7,,,76,52,62
F650008,Name8,,,81,58,69
F650009,Name9,,,44,27,25
F650010,Name10,,,78,65,72
F650011,Name11,,,63,41,40
F650012,Name12,,,45,40,42
F650013,Name13,,,57,51,43
F650014,Name14,,,52,48,39
F650015,Name15,,,97,60,63
F650016,Name16,,,16,5,14
F650017,Name17,,,74,79,59
F650018,Name18,,,7,0,0
F650019,Name19,,,49,64,51
F650020,Name20,,,58,52,41
F650021,Name21,,,50,56,50
F650022,Name22,,,38,35,29
F650023,Name23,,,99,87,81
F650024,Name24,,,96,84,80
F650025,Name25,,,50,51,39
F650026,Name26,,,41,48,50
F650027,Name27,,,73,64,71
F650028,Name28,,,86,100,81
F650029,Name29,,,22,42,24
F650030,Name30,,,57,67,69
F650031,Name31,,,77,79,67
F650032,Name32,,,55,53,38
F650033,Name33,,,30,22,26
F650034,Name34,,,41,23,23
F650035,Name35,,,50,43,57
F650036,Name36,,,58,71,61
F650037,Name37,,,51,54,41
F650038,Name38,,,59,61,56
F650039,Name39,,,64,46,48
F650040,Name40,,,47,27,34
F650041,Name41,,,49,42,45
F650042,Name42,,,66,82,72
F650043,Name43,,,62,63,60
F650044,Name44,,,78,74,64
F650045,Name45,,,90,76,74
F650046,Name46,,,73,72,70
F650047,Name47,,,39,32,51
F650048,Name48,,,42,38,50
F650049,Name49,,,84,60,71
F650050,Name50,,,51,70,48
F650051,Name51,,,36,46,32
F650052,Name52,,,48,51,51
F650053,Name53,,,51,52,54
F650054,Name54,,,69,28,51
F650055,Name55,,,58,52,45
F650056,Name56,,,61,41,60
F650057,Name57,,,70,56,61
F650058,Name58,,,93,85,82
F650059,Name59,,,51,23,24
F650060,Name60,,,58,68,62
F650061,Name61,,,64,76,53
F650062,Name62,,,48,38,30
F650063,Name63,,,50,9,24
F650064,Name64,,,34,23,34
F650065,Name65,,,62,41,59
F650066,Name66,,,50,34,34
F650067,Name67,,,36,34,46
F650068,Name68,,,31,35,19
F650069,Name69,,,100,100,83
F650070,Name70,,,90,65,77
F650071,Name71,,,56,81,74
F650072,Name72,,,66,65,68
F650073,Name73,,,53,53,52
F650074,Name74,,,95,79,74
F650075,Name75,,,90,71,84
F650076,Name76,,,76,84,88
F650077,Name77,,,52,75,45
F650078,Name78,,,73,81,63
F650079,Name79,,,90,73,88
F650080,Name80,,,35,31,39
F650081,Name81,,,99,56,65
F650082,Name82,,,58,29,40
F650083,Name83,,,100,100,93
F650084,Name84,,,40,36,34
F650085,Name85,,,72,82,72
F650086,Name86,,,56,38,53
F650087,Name87,,,29,42,36
F650088,Name88,,,32,10,5
F650089,Name89,,,97,97,90
F650090,Name90,,,100,82,76
F650091,Name91,,,73,90,70
F650092,Name92,,,94,100,81
F650093,Name93,,,48,23,38
F650094,Name94,,,28,64,36
F650095,Name95,,,64,35,35
F650096,Name96,,,55,77,52
F650097,Name97,,,46,41,51
F650098,Name98,,,41,22,25
F650099,Name99,,,46,39,38
